"","permno","ticker","cusip","company_name","exchange"
"80",10517,"RNT","00253530","AARON RENTS INC","NYSE"
"81",10517,"AAN","00253530","AARON RENTS INC","NYSE"
"82",10545,"THI","88355910","THERMO INSTRUMNT","AMEX"
"83",10559,"DG","04557310","ASSOC DRY GOODS","NYSE"
"84",10560,"ABY","00368010","ABITIBI PRICE","NYSE"
"85",10560,"ABY","00392410","ABITIBI CONS INC","NYSE"
"86",10562,"SOV","84590510","SOVEREIGN BCP PA","NYSE"
"87",10574,"BNT","08265710","BENTLEY PHARMACEUTICALS INC.","AMEX"
"88",10594,"DME","25432R10","DIME SVGS BK N Y","NYSE"
"89",10594,"DME","25429P10","DIME BANCORP INCORPORATED NY","NYSE"
"90",10594,"DME","25429Q10","DIME BANCORP INCORPORATED NY","NYSE"
"91",10597,"FEP","35351510","FRANKLIN ELECTRONIC PUBLISHERS","NYSE"
"92",10604,"AFI","04882510","ATLAN RICHFIELD","NYSE"
"93",10604,"ARC","04882510","ATLAN RICHFIELD","NYSE"
"94",10606,"WTS","94274910","WATTS INDS INC","NYSE"
"95",10608,"GKI","37017210","GENERAL KINETICS","AMEX"
"96",10611,"AMI","00472410","ACME METALS INC","NYSE"
"97",10623,"FRC","33615F10","1ST REPUBLIC BAN","AMEX"
"98",10623,"FRC","33615810","FIRST REPUBLIC BANK","NYSE"
"99",10628,"FAJ","35905010","FRONTIER ADJUSTE","AMEX"
"100",10629,"FNB","30252010","FNB CORPORATION","NYSE"
"101",10644,"TGX","88337510","THERAGENICS CORPORATION","NYSE"
"102",10657,"AD","00758510","ADVO SYSTEM INC","NYSE"
"103",10662,"GVF","38123610","GOLDEN VY MICROW","NYSE"
"104",10693,"HRC","42192410","HEALTHSOUTH REHA","NYSE"
"105",10693,"HLS","42192430","HEALTHSOUTH CORPORATION","NYSE"
"106",10693,"EHC","29261A10","ENCOMPASS HEALTH CORP","NYSE"
"107",10702,"SUR","78402710","SCOR U.S. CORP","NYSE"
"108",10705,"BIM","44928710","ICN BIOMEDICALS","AMEX"
"109",10716,"CXC","22025610","CORRECTIONS CORP","NYSE"
"110",10716,"CCA","22025610","CORRECTIONS CORP","NYSE"
"111",10724,"PFS","72367210","PIONEER FINL SVC","NYSE"
"112",10725,"CF","16090310","CHARTER ONE FINL","NYSE"
"113",10726,"PHD","16514610","CHESAPEAKE BIO","AMEX"
"114",10731,"DC","23808510","DATAMETRICS CORPORATION","AMEX"
"115",10750,"CKE","14343610","CARMIKE CINEMAS","NYSE"
"116",10753,"FTR","35908110","FRONTIER INS GRO","NYSE"
"117",10761,"MAJ","59406010","MICHAEL ANTHONY","AMEX"
"118",10765,"CNX","21257810","CONVEX COMPUTER","NYSE"
"119",10772,"SED","78410920","SED INTERNATIONAL HOLDINGS INC","AMEX"
"120",10779,"RWC","75952510","RELM WIRELESS CORPORATION","AMEX"
"121",10779,"BKTI","09180A10","BK TECHNOLOGIES INC","AMEX"
"122",10786,"BS","08750910","BETHLEHEM STEEL","NYSE"
"123",10788,"UFN","90459510","UNICARE FINL CP","AMEX"
"124",10790,"SWD","82522910","SHOREWOOD PCKGNG","NYSE"
"125",10791,"SGI","82705610","SILICON GRAPHICS","NYSE"
"126",10801,"MMZ","59163C20","METRO MOBILE CTS","AMEX"
"127",10803,"UF","91182210","U S FACILITIES","NYSE"
"128",10803,"CGE","15590410","CENTRIS GROUP INC","NYSE"
"129",10818,"NOV","66993010","NOVACARE INCORPO","NYSE"
"130",10822,"GNA","36312710","GAINSCO INC","AMEX"
"131",10822,"GAN","36312710","GAINSCO INC","AMEX"
"132",10822,"GAN","36312720","GAINSCO INCORPORATED","AMEX"
"133",10822,"GAN","36312730","GAINSCO INC","AMEX"
"134",10823,"BU","11425910","BROOKLYN UNION GAS COMPANY","NYSE"
"135",10823,"KSE","49337510","KEYSPAN ENERGY CORP","NYSE"
"136",10827,"CNM","21164210","CONTINENTAL MED","NYSE"
"137",10860,"EPT","29426110","EPITOPE","AMEX"
"138",10866,"BWS","11565710","BROWN GROUP INCORPORATED","NYSE"
"139",10866,"BG","11565710","BROWN GROUP INCORPORATED","NYSE"
"140",10866,"BWS","11573610","BROWN SHOE COMPANY","NYSE"
"141",10866,"CAL","12950010","CALERES INC","NYSE"
"142",10870,"PPH","69334410","PHP HEALTHCARE C","NYSE"
"143",10874,"BC","11704310","BRUNSWICK CP","NYSE"
"144",10876,"RHT","76657310","RIGHT MGMT CNSLT","NYSE"
"145",10880,"MBN","59164510","METROBANK CA","AMEX"
"146",10890,"UIS","90921410","UNISYS CP","NYSE"
"147",10890,"UIS","90921430","UNISYS CORPORATION","NYSE"
"148",10906,"BNK","06646R10","BANKNORTH GROUP INC","NYSE"
"149",10908,"UNI","90457110","UNI-MARTS INCORP","AMEX"
"150",10908,"UNI","90457130","UNI-MARTS INCORPORATED","AMEX"
"151",10916,"CTY","20362810","COMMUNITY BANKS INCORPORATED PA","AMEX"
"152",10924,"FPI","35075530","FOUNTAIN POWERBOAT INDUSTRIES","AMEX"
"153",10924,"FPB","35075530","FOUNTAIN POWERBOAT INDUSTRIES","AMEX"
"154",10928,"ORG","68590610","ORGANOGENESIS INC","AMEX"
"155",10929,"PTZ","74577110","PULITZER PUBG CO","NYSE"
"156",10932,"WBS","94789010","WEBSTER FINL CP","NYSE"
"157",10933,"MKL","57053510","MARKEL CORP","NYSE"
"158",10952,"CDR","15060220","CEDAR SHOPPING CENTERS INC","NYSE"
"159",10967,"CNR","20810810","CONNER PERIPHERA","NYSE"
"160",10972,"RJI","75834110","REEDS JEWELERS","AMEX"
"161",10974,"FAB","32017F10","1ST FEDL ALABAMA","AMEX"
"162",10974,"PLE","72345110","PINNACLE BANCSHARES INC","AMEX"
"163",10974,"PLE","72290310","PINNACLE BANCSHARES INC","AMEX"
"164",10977,"TBK","88948010","TOLLAND BK CONN","AMEX"
"165",10977,"ANE","01852Q10","ALLIANCE BANCORP OF NEW ENGLAND","AMEX"
"166",10978,"DR","25247810","DIAL REIT INC","NYSE"
"167",10978,"MDI","59522K10","MID-AMERICA REALTY INVESTMENTS","NYSE"
"168",10989,"CFG","12614910","CPC INTERNATIONAL INC","NYSE"
"169",10989,"CPC","12614910","CPC INTERNATIONAL INC","NYSE"
"170",10989,"BFO","08658U10","CPC INTERNATIONAL INC","NYSE"
"171",10995,"AFB","01072610","BNF BANCORP INCORPORATED","AMEX"
"172",10995,"AFB","05944910","BNF BANCORP INCORPORATED","AMEX"
"173",10995,"BNF","05561K10","BNF BANCORP INC","AMEX"
"174",10999,"ITN","46112010","INTERTAN INCORP","NYSE"
"175",11003,"CHKM","16524K10","CHESAPEAKE MIDSTREAM PARTNERS LP","NYSE"
"176",11003,"ACMP","00434L10","ACCESS MIDSTREAM PARTNERS LP","NYSE"
"177",11003,"WPZ","96949L10","WILLIAMS PARTNERS LP","NYSE"
"178",11017,"CMN","13106910","CALLAHAN MNG","NYSE"
"179",11018,"FBP","31993610","1ST FED SVGS PR","NYSE"
"180",11018,"FBP","33761K10","FIRSTBANK PUERTO RICO","NYSE"
"181",11018,"FBP","31867210","FIRSTBANK CORP.","NYSE"
"182",11018,"FBP","31867270","FIRST BANCORP PUERTO RICO","NYSE"
"183",11038,"NWK","64120810","NETWRK EQUIP TEC","NYSE"
"184",11040,"BRX","09092510","BIOTHERAPEUTICS","AMEX"
"185",11040,"RTK","76123210","RESPONSE TECH","AMEX"
"186",11041,"CP","13644030","CANADIAN PAC LTD","NYSE"
"187",11043,"PMD","74437510","PSYCHEMEDICS CORP","AMEX"
"188",11043,"PMD","74437520","PSYCHEMEDICS CORP","AMEX"
"189",11048,"EPG","29406L20","ENVIRONMENTAL POWER CORP","AMEX"
"190",11062,"DLW","24790410","DELTA WOODSIDE","NYSE"
"191",11064,"EAG","26951310","EAGLE FINL CORP","AMEX"
"192",11065,"BRA","10530310","BRANDON SYS CORP","AMEX"
"193",11105,"CRT","15687910","CERTAIN-TEED","NYSE"
"194",11119,"ONC","68231110","ONCOR INC","AMEX"
"195",11120,"CFX","16540210","CHESHIRE FINL CP","AMEX"
"196",11120,"CFX","12525V10","CFX CORPORATION","AMEX"
"197",11124,"CON","21148C10","CONTL HOMES HLDG","AMEX"
"198",11139,"AB","13769410","CANNON EXPRESS","AMEX"
"199",11141,"SHC","80819510","SCHULT HOMES CORP","AMEX"
"200",11144,"AVD","03037110","AMERICAN VANGAURD CORP","AMEX"
"201",11156,"CO","16549610","CHESSIE SYSTEM","NYSE"
"202",11159,"DVI","23334310","DVI INCORPORATED","NYSE"
"203",11161,"JEN","47615310","JENNIFER CONVS INC","AMEX"
"204",11170,"NRG","13019010","CALIF ENERGY CO","AMEX"
"205",11170,"CE","13019010","CALIF ENERGY CO","AMEX"
"206",11170,"CE","12946610","CALENERGY INCORPORATED","NYSE"
"207",11170,"MEC","59562V10","MIDAMERICAN ENERGY HOLDING","NYSE"
"208",11181,"NAK","63252R10","NATIONAL AUTO CREDIT","NYSE"
"209",11181,"NAK","63290010","NATIONAL AUTO CREDIT","NYSE"
"210",11184,"MCU","55917720","MAGMA COPPER CO","AMEX"
"211",11203,"PXT","69367410","PXRE CORPORATION","NYSE"
"212",11203,"PXT","G7301810","PXRE GROUP LIMITED","NYSE"
"213",11203,"ARGO","G0464B10","ARGO GROUP INTERNATIONAL HOLDING","NYSE"
"214",11208,"OFB","68618510","ORIENTAL FINANCIAL GROUP","AMEX"
"215",11208,"OBT","68618510","ORIENTAL FINANCIAL GROUP","NYSE"
"216",11208,"OFG","68618W10","ORIENTAL FINANCIAL GROUP","NYSE"
"217",11208,"OFG","67103X10","OFG BANCORP","NYSE"
"218",11215,"XQ","74756510","QUALITY FOOD CEN","NYSE"
"219",11221,"CDT","19564210","COLONIAL DATA TECHNOLOGIES","AMEX"
"220",11248,"CF","14387210","CAROLINA FINCL","AMEX"
"221",11260,"C","17119610","CHRYSLER CORPORATION","NYSE"
"222",11267,"CTR","14920510","CATO CORP NEW","NYSE"
"223",11267,"CATO","14920510","CATO CORP NEW","NYSE"
"224",11282,"ITI","46047510","INTL TELECHARGE","AMEX"
"225",11295,"CLU","18948610","CLUETT PEABODY","NYSE"
"226",11308,"KO","19121610","COCA COLA CO","NYSE"
"227",11332,"COT","19686410","COLT INDS","NYSE"
"228",11332,"COT","19686470","COLT INDS","NYSE"
"229",11334,"A","04987020","ATTWOODS PLC","NYSE"
"230",11338,"KVN","49446910","KIMMINS ENVIRONM","NYSE"
"231",11338,"KVN","49446V10","KIMMINS CORPORATION","NYSE"
"232",11340,"CG","19764810","COLUMBIA GAS SYSTEMS INC","NYSE"
"233",11361,"ECT","26827L10","ECA MARCELLUS TRUST I","NYSE"
"234",11366,"WHO","94154710","WATERHOUSE INVES","AMEX"
"235",11370,"ENV","29404K10","ENVESTNET INC","NYSE"
"236",11378,"CCC","12960310","CALGON CARBON CP","NYSE"
"237",11382,"PFT","74292510","PROFFITTS INC","NYSE"
"238",11382,"SKS","79377W10","SAKS INCORPORATED","NYSE"
"239",11384,"WLM","94970210","WELLMAN INCORPOR","NYSE"
"240",11388,"BZR","07556820","BEAZER PLC","NYSE"
"241",11402,"DRJ","26198320","DREAMS INC","AMEX"
"242",11403,"CDN","12738710","CADENCE DES SYS","NYSE"
"243",11404,"ED","20911110","CONSOL EDISON","NYSE"
"244",11404,"ED","20911510","CONSOLIDATED EDISON INC","NYSE"
"245",11406,"CSH","14067310","CAPSURE HOLDINGS CORPORATION","NYSE"
"246",11406,"SUR","12612L10","CNA SURETY CP","NYSE"
"247",11415,"BRL","06830610","BARR LABORATORIE","AMEX"
"248",11447,"CCC","21145210","CONTL GROUP","NYSE"
"249",11453,"VMI","92046910","VALUE MERCHANTS INC","NYSE"
"250",11465,"TGN","87891210","TECOGEN INC","AMEX"
"251",11465,"THP","88358910","THERMO POWER CORPORATION","AMEX"
"252",11478,"BRY","08578910","BERRY PETROLEUM","NYSE"
"253",11483,"MKT","00753T10","ADV MKTG SVCS IN","NYSE"
"254",11502,"FBD","31571210","FIBREBOARD CORPORATION","AMEX"
"255",11509,"HRH","43129410","HILB ROYAL+HAMIL","NYSE"
"256",11523,"HCF","42192710","HEALTH CONCPT IV","AMEX"
"257",11533,"FIC","30325010","ISSAC FAIR","NYSE"
"258",11533,"FICO","30325010","ISSAC FAIR","NYSE"
"259",11541,"TST","58441B10","MEDIA LOGIC INC","AMEX"
"260",11553,"ENC","29321710","ENGLISH CHINA CLAYS PLC","NYSE"
"261",11571,"XCL","30213410","XCL LIMITED","AMEX"
"262",11571,"XCL","98370210","XCL LIMITED","AMEX"
"263",11571,"XCL","98370110","XCL LIMITED","AMEX"
"264",11581,"APW","03822510","APPLIED POWER IN","NYSE"
"265",11581,"ATU","03822510","APPLIED POWER IN","NYSE"
"266",11581,"ATU","00508X10","ACTUANT CORPORATION","NYSE"
"267",11581,"ATU","00508X20","ACTUANT CORPORATION","NYSE"
"268",11599,"ACO","02341W10","AMCOL INTERNATIONAL CORPORATION","NYSE"
"269",11607,"DCN","23581110","DANA CORP","NYSE"
"270",11622,"PZA","74372610","PROVENA FOODS","AMEX"
"271",11628,"CPF","12590310","CPB INCORPORATED","NYSE"
"272",11628,"CPF","15476010","CENTRAL PACIFIC FINANCIAL CORP","NYSE"
"273",11628,"CPF","15476040","CENTRAL PACIFIC FINANCIAL CORP","NYSE"
"274",11630,"ICL","45815C10","INTELLICALL INC","NYSE"
"275",11641,"ARF","00912830","CELL TECHNOLOGY","AMEX"
"276",11644,"CRK","20576820","COMSTOCK RESOURCES","NYSE"
"277",11644,"CRK","20576830","COMSTOCK RESOURCES","NYSE"
"278",11654,"NAI","63884230","NATURAL ALTERNATIVES INTL","AMEX"
"279",11662,"ICO","45323G10","INACOM CORPORATION","NYSE"
"280",11663,"HLD","41335310","HAROLD'S STORES","AMEX"
"281",11664,"GDOT","39304D10","GREEN DOT CORP","NYSE"
"282",11674,"DTE","25084710","DETROIT EDISON","NYSE"
"283",11674,"DTE","23333110","DTE ENERGY COMPANY","NYSE"
"284",11681,"GXY","36317520","GALAXY FOODS COMPANY","AMEX"
"285",11681,"GXY","36317Q10","GALAXY NUTRITIONAL FOODS","AMEX"
"286",11690,"DM","25707510","DOME MINES LTD","NYSE"
"287",11691,"AXB","01448210","ALEXANDER & BALDWIN INC","NYSE"
"288",11691,"ALEX","01448210","ALEXANDER & BALDWIN INC","NYSE"
"289",11691,"ALEX","01448110","ALEXANDER & BALDWIN INC","NYSE"
"290",11691,"MATX","57686G10","MATSON INC","NYSE"
"291",11694,"JMP","71603510","PETERS J M CO","AMEX"
"292",11694,"CPH","14040M10","PETERS J M CO","AMEX"
"293",11703,"DD","26353410","DUPONT","NYSE"
"294",11707,"CBM","13201110","CAMBREX","AMEX"
"295",11713,"PTA","70787410","PENN TREATY AMER","NYSE"
"296",11713,"PTA","70787440","PENN TREATY AMER CORP","NYSE"
"297",11731,"AIN","01234810","ALBANY INTL","NYSE"
"298",11745,"NLN","63663710","NATIONAL LAMPOON, INC.","AMEX"
"299",11754,"EK","27746110","EASTMAN KODAK CO","NYSE"
"300",11761,"DS","23520410","DALLAS SEMICOND","NYSE"
"301",11762,"ETN","27805810","EATON CP","NYSE"
"302",11762,"ETN","G2918310","EATON CORP PLC","NYSE"
"303",11809,"CLH","18449610","CLEAN HARBORS","NYSE"
"304",11819,"VCR","81726X10","SENSORY SCIENCE CORP","AMEX"
"305",11845,"WPP","92937A10","WPP 2012 LTD","NYSE"
"306",11849,"GGO","37426510","GETCHELL GOLD CORPORATION","AMEX"
"307",11850,"XON","30229010","EXXON CORP","NYSE"
"308",11850,"XOM","30231G10","EXXON MOBIL CORP","NYSE"
"309",11854,"FPX","34968730","FORTUNE PETE CO","AMEX"
"310",11854,"FPX","34968110","FORTUNE NATURAL RESOURCES CORP","AMEX"
"311",11861,"APK","39305910","GREEN A.P. INDS","NYSE"
"312",11874,"IHK","45283510","IMPERIAL HOLLY","AMEX"
"313",11874,"IHK","45309610","IMPERIAL SUGAR CO.","AMEX"
"314",11881,"ILX","44966150","ILX RESORTS INC","AMEX"
"315",11887,"KCS","48243420","KCS ENERGY INC","NYSE"
"316",11891,"MGG","55295310","MGM GRAND INC","NYSE"
"317",11891,"MGM","55295310","MGM GRAND INC","NYSE"
"318",11898,"MPP","58462R80","MEDICAL TECHNOLOGY SYS INC","AMEX"
"319",11898,"MPP","55377310","MTS MEDICATION TECHNOLOGIES INC","AMEX"
"320",11911,"NYB","64938910","NEW YORK BANCORP","AMEX"
"321",11918,"PHN","71921H40","PHONETEL TECH","AMEX"
"322",11923,"ALR","01948310","ALLIED RESH CORP","AMEX"
"323",11923,"ADG","01911810","THE ALLIED DEFENSE GROUP INC.","AMEX"
"324",11928,"RFH","76340810","RICHFOOD HLDGS","NYSE"
"325",11929,"RDM","76972710","RDM SPORTS GROUP INC","AMEX"
"326",11929,"RDM","74941210","RDM SPORTS GROUP INC","NYSE"
"327",11936,"SSP","81103910","SCRIPPS E.W. CO.","NYSE"
"328",11945,"SRY","86866620","SURETY CAPITAL CORP","AMEX"
"329",11955,"UW","90291710","USA WASTE SERVICES INCORPORA","NYSE"
"330",11955,"WMI","94106L10","WASTE MANAGEMENT INC.","NYSE"
"331",11955,"WM","94106L10","WASTE MANAGEMENT INC.","NYSE"
"332",11968,"ADT","00091520","ADT LIMITED","NYSE"
"333",11975,"NGA","04574410","ASSD NATURAL GAS","NYSE"
"334",11976,"BMC","05592110","BMC SOFTWARE","NYSE"
"335",11990,"KKR","48248M10","KKR & CO LP","NYSE"
"336",11990,"KKR","48251W10","KKR & CO INC","NYSE"
"337",11993,"LPH","54335410","LONGWEI PETROLEUM INVESTMENT HOL","AMEX"
"338",11994,"CDG","18682C10","CLIFFS DRILLING","NYSE"
"339",11999,"MCP","60875310","MOLYCORP INC","NYSE"
"340",12006,"DKB","24487820","DEKALB GENETICS","NYSE"
"341",12007,"OXF","69180710","OXFORD RESOURCE PARTNERS LP","NYSE"
"342",12007,"WMLP","96108P10","WESTMORELAND RESOURCE PARTNERS L","NYSE"
"343",12008,"DY","26747510","DYCOM INDS INC","NYSE"
"344",12009,"QUAD","74730110","QUAD/GRAPHICS INC","NYSE"
"345",12011,"RLD","75604L10","REALD INC","NYSE"
"346",12014,"CBP","75971B10","RENHUANG PHARMACEUTICAL INC","AMEX"
"347",12014,"CBP","16890Y10","CHINA BOTANIC PHARMACEUTICAL INC","AMEX"
"348",12017,"VRNG","92911N10","VRINGO INC","AMEX"
"349",12020,"GLC","36290310","GALACTIC RES LTD","AMEX"
"350",12036,"GMT","36144810","GATX CORP","NYSE"
"351",12036,"GATX","36144810","GATX CORP","NYSE"
"352",12038,"AMBO","02322P10","AMBOW EDUCATION HOLDING LTD","NYSE"
"353",12043,"KH","16890V10","CHINA KANGHUI HOLDINGS INC","NYSE"
"354",12044,"CUC","22989010","CULBRO CORPORATION","NYSE"
"355",12044,"CBO","22989010","CULBRO CORPORATION","NYSE"
"356",12049,"GORO","38068T10","GOLD RESOURCE CORP","AMEX"
"357",12051,"IL","46118H10","INTRALINKS HOLDINGS INC","NYSE"
"358",12052,"GD","36955010","GENERAL DYNAMICS CORP","NYSE"
"359",12056,"NEWN","64384710","NEW ENERGY SYSTEMS GROUP","AMEX"
"360",12057,"REE","75381M10","RARE ELEMENT RESOURCES LTD","AMEX"
"361",12060,"GE","36960410","GENERAL ELEC","NYSE"
"362",12062,"NH","63633F10","NATIONAL HEALTH","NYSE"
"363",12062,"NH","63633E10","LABORATORY CORPORATION AMERICA","NYSE"
"364",12062,"LH","50540R10","LABORATORY CORPORATION AMERICA","NYSE"
"365",12062,"LH","50540R40","LABORATORY CORPORATION AMERICA","NYSE"
"366",12068,"ONB","68003310","OLD NATL BANC IN","NYSE"
"367",12070,"WSR","96608420","WHITESTONE REIT","AMEX"
"368",12072,"PKY","70159Q10","PARKWAY PROPERTIES INC","NYSE"
"369",12074,"PDE","74193210","PRIDE INTERNATIONAL INC","NYSE"
"370",12074,"PDE","74153Q10","PRIDE INTERNATIONAL INC","NYSE"
"371",12076,"SIG","82668L87","SIGNET GROUP PLC","NYSE"
"372",12076,"SIG","G8127610","SIGNET JEWELERS LTD","NYSE"
"373",12078,"ELMD","28540910","ELECTROMED INC","AMEX"
"374",12079,"GM","37044210","GEN MTRS CORP","NYSE"
"375",12087,"GRX","37062210","GEN REFRACTORIES","NYSE"
"376",12093,"COR","21870Q10","CORESITE REALTY CORP","NYSE"
"377",12095,"GSX","37083810","GEN SIGNAL","NYSE"
"378",12097,"CCSC","22238M10","COUNTRY STYLE COOKING RESTAURANT","NYSE"
"379",12100,"UTD","91074010","UTD INVST MGT","NYSE"
"380",12101,"ELT","29034810","ELSTER GROUP SE","NYSE"
"381",12104,"HBP","42291010","HELIX BIOPHARMA","AMEX"
"382",12125,"ALE","02127020","ALTA ENERGY CORP","AMEX"
"383",12125,"ALE","02127030","ALTA ENERGY CORP","AMEX"
"384",12140,"GR","38238810","GOODRICH BF","NYSE"
"385",12149,"COB","19777910","COLUMBIA LABORATORIES INC","AMEX"
"386",12169,"DRL","25811P10","DORAL FINANCIAL CORP","NYSE"
"387",12169,"DRL","25811P88","DORAL FINANCIAL CORP","NYSE"
"388",12169,"DRL","25811P85","DORAL FINANCIAL CORP","NYSE"
"389",12175,"GNI","39106410","GREAT NORTHN IRON ORE PPTYS","NYSE"
"390",12188,"EAR","42236030","HEARUSA INC","AMEX"
"391",12199,"KP","49313810","KEY PRODUCTION COMPANY INC.","NYSE"
"392",12211,"LNN","53555510","LINDSAY MFG","NYSE"
"393",12217,"MSS","58342110","MEASUREMENT SPECIALTIES INC","AMEX"
"394",12248,"PWX","74373710","PROVIDENCE WORC","AMEX"
"395",12265,"VSX","92844S10","VISX INCORPORATED","AMEX"
"396",12265,"EYE","92844S10","VISX INCORPORATED","NYSE"
"397",12269,"TKS","89003020","TOMKINS PLC","NYSE"
"398",12291,"RNO","76218Y10","RHINO RESOURCES INC","NYSE"
"399",12293,"SFUN","83603410","SOUFUN HOLDINGS LTD","NYSE"
"400",12293,"SFUN","30711Y10","FANG HOLDINGS LTD","NYSE"
"401",12319,"HM","43761410","HOMESTAKE MNG CO","NYSE"
"402",12320,"AIZ","02339510","AMCAST INDL CP","NYSE"
